id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-06-22T20:03:49;RAM Focused;PAID;CASH_ON_DELIVERY;2020-06-23T04:25:56;64379;Australia 1080p Intranet;1
2;2020-06-22T17:18:05;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-06-22T21:13:46;8068;Baby;2
3;2020-06-23T02:59:53;monitor;CANCELLED;CREDIT_CARD;2020-06-22T18:51:15;97394;Rubber synergy program;3
4;2020-06-22T15:33:55;EXE parse strategic;CANCELLED;PAYPAL;2020-06-22T19:39:05;2286;HTTP;4
5;2020-06-22T11:49:06;black Awesome;PAID;CASH_ON_DELIVERY;2020-06-22T11:51:00;49531;Agent SDD auxiliary;5
6;2020-06-22T22:21:40;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-06-22T14:13:50;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-06-23T00:55:16;back up Toys;ISSUED;PAYPAL;2020-06-23T03:50:55;10756;Arizona Awesome Fresh Soap system;7
8;2020-06-22T21:27:26;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-06-22T21:16:29;50263;deploy;8
9;2020-06-22T15:17:24;Credit Card Account;CANCELLED;CREDIT_CARD;2020-06-23T01:40:33;308;payment Fantastic Fresh Soap;9
10;2020-06-23T01:41:47;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-06-23T05:27:36;94911;Granite Rubber Pizza;10
