id;placed_date;status;code;customer_id
1;2020-06-23T03:25:49;COMPLETED;Georgia calculate withdrawal;1
2;2020-06-22T14:22:19;COMPLETED;compress Steel out-of-the-box;2
3;2020-06-22T15:53:31;PENDING;Concrete;3
4;2020-06-23T05:19:26;CANCELLED;Investment Account;4
5;2020-06-22T16:36:16;PENDING;United States of America;5
6;2020-06-23T06:48:20;CANCELLED;IB Industrial Credit Card Account;6
7;2020-06-23T09:54:45;CANCELLED;Cotton Egyptian Pound;7
8;2020-06-22T18:50:49;COMPLETED;Home Loan Account;8
9;2020-06-23T03:45:05;COMPLETED;Human;9
10;2020-06-22T13:53:43;CANCELLED;payment;10
