id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-06-22T12:51:59;payment unleash Jamaican Dollar;1
2;Rest;2020-06-23T08:08:29;Plains;2
3;Quality Plastic plum;2020-06-22T12:28:51;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-06-23T08:56:03;Architect SSL;4
5;zero tolerance;2020-06-23T05:52:22;user-facing CSS;5
6;ADP Ouguiya;2020-06-23T01:48:50;Garden;6
7;auxiliary;2020-06-23T10:04:50;functionalities Bedfordshire withdrawal;7
8;Data;2020-06-22T13:02:51;Viaduct hybrid;8
9;mesh;2020-06-23T11:28:30;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-06-23T09:27:24;Re-engineered withdrawal Ball;10
